ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,Khoảng cách đường bộ km,khoang_cach_chim_bay_km,tinh_thanh_sau_sap_nhap,tinh_thanh,khoang_cach_chim_bay,Khoảng cách đường bộ,thời gian,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord
94830000,PGD Thuận Hưng,106.6060609,10.8567192,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,16.7,12.7359634941833,TP. Hồ Chí Minh,,,,,94830000__90600000,90600000__94830000,"10.85672,106.60606__10.76976,106.68195","10.76976,106.68195__10.85672,106.60606"
94831000,PGD Phú Hưng,106.6699129,10.7999104,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,5.3,3.601556179637839,TP. Hồ Chí Minh,,,,,94831000__90600000,90600000__94831000,"10.79991,106.66991__10.76976,106.68195","10.76976,106.68195__10.79991,106.66991"
94835000,PGD Quang Trung,106.6408893,10.8439372,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,12.5,9.388862834875157,TP. Hồ Chí Minh,,,,,94835000__90600000,90600000__94835000,"10.84394,106.64089__10.76976,106.68195","10.76976,106.68195__10.84394,106.64089"
90800000,CN 4 Thành phố Hồ Chí Minh,106.7025623,10.7659462,90630000,PGD Ba Tháng Hai,106.6689899,10.7688156,6.1,3.681208263955194,TP. Hồ Chí Minh,,,,,90800000__90630000,90630000__90800000,"10.76595,106.70256__10.76882,106.66899","10.76595,106.70256__10.76882,106.66899"
92000000,CN 5 Thành phố Hồ Chí Minh,106.6738508,10.756692,90630000,PGD Ba Tháng Hai,106.6689899,10.7688156,2.3,1.44889181707526,TP. Hồ Chí Minh,,,,,92000000__90630000,90630000__92000000,"10.75669,106.67385__10.76882,106.66899","10.75669,106.67385__10.76882,106.66899"
92200000,CN 6 Thành phố Hồ Chí Minh,106.6648231,10.7532743,90630000,PGD Ba Tháng Hai,106.6689899,10.7688156,2.4,1.787054856870066,TP. Hồ Chí Minh,,,,,92200000__90630000,90630000__92200000,"10.75327,106.66482__10.76882,106.66899","10.75327,106.66482__10.76882,106.66899"
92400000,CN 7 Thành phố Hồ Chí Minh,106.6991015,10.801716,90630000,PGD Ba Tháng Hai,106.6689899,10.7688156,5.8,4.91953600495837,TP. Hồ Chí Minh,,,,,92400000__90630000,90630000__92400000,"10.80172,106.69910__10.76882,106.66899","10.76882,106.66899__10.80172,106.69910"
92600000,CN 8 Thành phố Hồ Chí Minh,106.6653111,10.7423991,90630000,PGD Ba Tháng Hai,106.6689899,10.7688156,4.0,2.964744741374995,TP. Hồ Chí Minh,,,,,92600000__90630000,90630000__92600000,"10.74240,106.66531__10.76882,106.66899","10.74240,106.66531__10.76882,106.66899"
92631000,PGD Xóm Củi,106.65075,10.7477778,90630000,PGD Ba Tháng Hai,106.6689899,10.7688156,3.7,3.072866288727872,TP. Hồ Chí Minh,,,,,92631000__90630000,90630000__92631000,"10.74778,106.65075__10.76882,106.66899","10.74778,106.65075__10.76882,106.66899"
92800000,CN 9 Thành phố Hồ Chí Minh,106.6788024,10.82797,90630000,PGD Ba Tháng Hai,106.6689899,10.7688156,8.8,6.664416180093298,TP. Hồ Chí Minh,,,,,92800000__90630000,90630000__92800000,"10.82797,106.67880__10.76882,106.66899","10.76882,106.66899__10.82797,106.67880"
93230000,PGD Vĩnh Lộc,106.596,10.8158889,90630000,PGD Ba Tháng Hai,106.6689899,10.7688156,11.9,9.537273603949778,TP. Hồ Chí Minh,,,,,93230000__90630000,90630000__93230000,"10.81589,106.59600__10.76882,106.66899","10.76882,106.66899__10.81589,106.59600"
94000000,CN 10 Thành phố Hồ Chí Minh,106.673082,10.765361,90630000,PGD Ba Tháng Hai,106.6689899,10.7688156,1.2,0.5893868499974497,TP. Hồ Chí Minh,,,,,94000000__90630000,90630000__94000000,"10.76536,106.67308__10.76882,106.66899","10.76536,106.67308__10.76882,106.66899"
94030000,PGD Lý Thường Kiệt,106.6576503,10.7716481,90630000,PGD Ba Tháng Hai,106.6689899,10.7688156,2.1,1.278109364685906,TP. Hồ Chí Minh,,,,,94030000__90630000,90630000__94030000,"10.77165,106.65765__10.76882,106.66899","10.76882,106.66899__10.77165,106.65765"
94200000,CN 11 Thành phố Hồ Chí Minh,106.6474356,10.7568213,90630000,PGD Ba Tháng Hai,106.6689899,10.7688156,3.9,2.70605913353118,TP. Hồ Chí Minh,,,,,94200000__90630000,90630000__94200000,"10.75682,106.64744__10.76882,106.66899","10.75682,106.64744__10.76882,106.66899"
94231000,PGD Tên Lửa,106.61129,10.75028,90630000,PGD Ba Tháng Hai,106.6689899,10.7688156,8.1,6.631557494406428,TP. Hồ Chí Minh,,,,,94231000__90630000,90630000__94231000,"10.75028,106.61129__10.76882,106.66899","10.75028,106.61129__10.76882,106.66899"
94400000,CN 12 Thành phố Hồ Chí Minh,106.6409777,10.7996853,90630000,PGD Ba Tháng Hai,106.6689899,10.7688156,6.4,4.598349788751575,TP. Hồ Chí Minh,,,,,94400000__90630000,90630000__94400000,"10.79969,106.64098__10.76882,106.66899","10.76882,106.66899__10.79969,106.64098"
94700000,CN Thủ Đức,106.7575507,10.8576366,90630000,PGD Ba Tháng Hai,106.6689899,10.7688156,15.7,13.82405393249153,TP. Hồ Chí Minh,,,,,94700000__90630000,90630000__94700000,"10.85764,106.75755__10.76882,106.66899","10.76882,106.66899__10.85764,106.75755"
90800000,CN 4 Thành phố Hồ Chí Minh,106.7025623,10.7659462,90632000,PGD Vườn Chuối,106.6839927,10.7723266,3.9,2.14897032466679,TP. Hồ Chí Minh,,,,,90800000__90632000,90632000__90800000,"10.76595,106.70256__10.77233,106.68399","10.76595,106.70256__10.77233,106.68399"
92000000,CN 5 Thành phố Hồ Chí Minh,106.6738508,10.756692,90632000,PGD Vườn Chuối,106.6839927,10.7723266,3.1,2.061491384293826,TP. Hồ Chí Minh,,,,,92000000__90632000,90632000__92000000,"10.75669,106.67385__10.77233,106.68399","10.75669,106.67385__10.77233,106.68399"
92200000,CN 6 Thành phố Hồ Chí Minh,106.6648231,10.7532743,90632000,PGD Vườn Chuối,106.6839927,10.7723266,3.7,2.978797188951742,TP. Hồ Chí Minh,,,,,92200000__90632000,90632000__92200000,"10.75327,106.66482__10.77233,106.68399","10.75327,106.66482__10.77233,106.68399"
92400000,CN 7 Thành phố Hồ Chí Minh,106.6991015,10.801716,90632000,PGD Vườn Chuối,106.6839927,10.7723266,4.1,3.661026931541784,TP. Hồ Chí Minh,,,,,92400000__90632000,90632000__92400000,"10.80172,106.69910__10.77233,106.68399","10.77233,106.68399__10.80172,106.69910"
