global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord,matched_by,old_distance_km,new_distance_km,old_duration,new_duration,old_ratio_to_air,new_ratio_to_air,distance_diff_km,distance_abs_diff_km,distance_change_pct,compare_status,recrawl_priority
17584,17586,16230000,PGD Đồ Sơn,106.7828225,20.7164627,34631000,PGD Chí Linh,106.3874774,21.1088944,59.92019351516915,TP. Hải Phòng,176,84,"21 min
8.0 km",8.0,21 min,part/output_part_176/ket_qua_tu_0_den_99.xlsx,original_output,ok,16230000__34631000,16230000__34631000,"20.71646,106.78282__21.10889,106.38748","20.71646,106.78282__21.10889,106.38748",directed_pair_key_by_code,93.2,8.0,,21 min,,0.1335,-85.2,85.2,0.9142,SUSPECT_CHANGED,HIGH
20889,20891,90000000,CN Thành phố Hồ Chí Minh,106.7033737,10.7705105,91242000,PGD Hiệp Phước,106.7378846,10.6469072,14.25191949099936,TP. Hồ Chí Minh,209,89,"1 hr 52 min
101 km",101.0,1 hr 52 min,part/output_part_209/ket_qua_tu_0_den_99.xlsx,original_output,ok,90000000__91242000,90000000__91242000,"10.77051,106.70337__10.64691,106.73788","10.64691,106.73788__10.77051,106.70337",directed_pair_key_by_code,16.0,101.0,,1 hr 52 min,,7.0868,85.0,85.0,5.3125,SUSPECT_CHANGED,HIGH
18909,18911,64032000,PGD Mỹ Phước,106.6070371,11.1326431,88000000,CN Bà Rịa - Vũng Tàu,107.0753056,10.3481944,101.1212744372969,TP. Hồ Chí Minh,190,9,"1 hr 17 min
49.0 km",49.0,1 hr 17 min,part/output_part_190/ket_qua_tu_0_den_99.xlsx,original_output,ok,64032000__88000000,64032000__88000000,"11.13264,106.60704__10.34819,107.07531","10.34819,107.07531__11.13264,106.60704",directed_pair_key_by_code,134.0,49.0,,1 hr 17 min,,0.4846,-85.0,85.0,0.6343,SUSPECT_CHANGED,HIGH
20887,20889,90000000,CN Thành phố Hồ Chí Minh,106.7033737,10.7705105,91200000,CN Sài Gòn,106.7072001,10.7281824,4.725202268187322,TP. Hồ Chí Minh,209,87,"1 hr 30 min
93.3 km",93.3,1 hr 30 min,part/output_part_209/ket_qua_tu_0_den_99.xlsx,original_output,ok,90000000__91200000,90000000__91200000,"10.77051,106.70337__10.72818,106.70720","10.72818,106.70720__10.77051,106.70337",directed_pair_key_by_code,8.5,93.3,,1 hr 30 min,,19.7452,84.8,84.8,9.9765,SUSPECT_CHANGED,HIGH
20763,20765,88041000,PGD Xuyên Mộc,107.4095097,10.5384199,91032000,PGD Hùynh Tấn Phát,106.7368263,10.7145422,76.0800208846612,TP. Hồ Chí Minh,208,63,"29 min
9.5 km",9.5,29 min,part/output_part_208/ket_qua_tu_0_den_99.xlsx,original_output,ok,88041000__91032000,88041000__91032000,"10.53842,107.40951__10.71454,106.73683","10.53842,107.40951__10.71454,106.73683",directed_pair_key_by_code,94.3,9.5,,29 min,,0.1249,-84.8,84.8,0.8993,SUSPECT_CHANGED,HIGH
20844,20846,90000000,CN Thành phố Hồ Chí Minh,106.7033737,10.7705105,90042000,PGD Hiệp Bình Phước,106.7247173,10.8631262,10.55895076812133,TP. Hồ Chí Minh,209,44,"1 hr 36 min
97.3 km",97.3,1 hr 36 min,part/output_part_209/ket_qua_tu_0_den_99.xlsx,original_output,ok,90000000__90042000,90000000__90042000,"10.77051,106.70337__10.86313,106.72472","10.77051,106.70337__10.86313,106.72472",directed_pair_key_by_code,12.6,97.3,,1 hr 36 min,,9.2149,84.7,84.7,6.7222,SUSPECT_CHANGED,HIGH
18398,18400,34036000,PGD Thanh Miện,106.2458398,20.7856639,34633000,PGD Nam Sách,106.331765,20.995948,25.02846104866354,TP. Hải Phòng,184,98,"2 hr 23 min
116 km",116.0,2 hr 23 min,part/output_part_184/ket_qua_tu_0_den_99.xlsx,original_output,ok,34036000__34633000,34036000__34633000,"20.78566,106.24584__20.99595,106.33177","20.78566,106.24584__20.99595,106.33177",directed_pair_key_by_code,31.3,116.0,,2 hr 23 min,,4.6347,84.7,84.7,2.7061,SUSPECT_CHANGED,HIGH
18498,18500,64000000,CN Bình Dương,106.6670338,10.982933,88000000,CN Bà Rịa - Vũng Tàu,107.0753056,10.3481944,83.49762859245328,TP. Hồ Chí Minh,185,98,"42 min
31.3 km",31.3,42 min,part/output_part_185/ket_qua_tu_0_den_99.xlsx,original_output,ok,64000000__88000000,64000000__88000000,"10.98293,106.66703__10.34819,107.07531","10.34819,107.07531__10.98293,106.66703",directed_pair_key_by_code,116.0,31.3,,42 min,,0.3749,-84.7,84.7,0.7302,SUSPECT_CHANGED,HIGH
19010,19012,64032000,PGD Mỹ Phước,106.6070371,11.1326431,94030000,PGD Lý Thường Kiệt,106.6576503,10.7716481,40.51937286422324,TP. Hồ Chí Minh,191,10,"2 hr 48 min
134 km",134.0,2 hr 48 min,part/output_part_191/ket_qua_tu_0_den_99.xlsx,original_output,ok,64032000__94030000,64032000__94030000,"11.13264,106.60704__10.77165,106.65765","10.77165,106.65765__11.13264,106.60704",directed_pair_key_by_code,49.4,134.0,,2 hr 48 min,,3.3071,84.6,84.6,1.7126,SUSPECT_CHANGED,HIGH
20761,20763,88041000,PGD Xuyên Mộc,107.4095097,10.5384199,91030000,PGD Phú Mỹ Hưng,106.7055348,10.7291804,79.80477516629581,TP. Hồ Chí Minh,208,61,"24 min
11.0 km",11.0,24 min,part/output_part_208/ket_qua_tu_0_den_99.xlsx,original_output,ok,88041000__91030000,88041000__91030000,"10.53842,107.40951__10.72918,106.70553","10.53842,107.40951__10.72918,106.70553",directed_pair_key_by_code,94.7,11.0,,24 min,,0.1378,-83.7,83.7,0.8838,SUSPECT_CHANGED,HIGH
19420,19422,64035000,PGD Tân Đông Hiệp,106.7422824,10.9280524,94234000,PGD Lãnh Binh Thăng,106.6486194,10.7644474,20.87055175528491,TP. Hồ Chí Minh,195,20,"2 hr 8 min
109 km",109.0,2 hr 8 min,part/output_part_195/ket_qua_tu_0_den_99.xlsx,original_output,ok,64035000__94234000,64035000__94234000,"10.92805,106.74228__10.76445,106.64862","10.76445,106.64862__10.92805,106.74228",directed_pair_key_by_code,25.4,109.0,,2 hr 8 min,,5.2227,83.6,83.6,3.2913,SUSPECT_CHANGED,HIGH
18600,18602,64000000,CN Bình Dương,106.6670338,10.982933,94031000,PGD Ngô Gia Tự,106.6748391,10.7670545,24.01975393878206,TP. Hồ Chí Minh,187,0,"2 hr 25 min
117 km",117.0,2 hr 25 min,part/output_part_187/ket_qua_tu_0_den_99.xlsx,original_output,ok,64000000__94031000,64000000__94031000,"10.98293,106.66703__10.76705,106.67484","10.76705,106.67484__10.98293,106.66703",directed_pair_key_by_code,33.5,117.0,,2 hr 25 min,,4.871,83.5,83.5,2.4925,SUSPECT_CHANGED,HIGH
19009,19011,64032000,PGD Mỹ Phước,106.6070371,11.1326431,94000000,CN 10 Thành phố Hồ Chí Minh,106.673082,10.765361,41.47154578926921,TP. Hồ Chí Minh,191,9,"2 hr 53 min
137 km",137.0,2 hr 53 min,part/output_part_191/ket_qua_tu_0_den_99.xlsx,original_output,ok,64032000__94000000,64032000__94000000,"11.13264,106.60704__10.76536,106.67308","10.76536,106.67308__11.13264,106.60704",directed_pair_key_by_code,53.6,137.0,,2 hr 53 min,,3.3035,83.4,83.4,1.556,SUSPECT_CHANGED,HIGH
