global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord,matched_by,old_distance_km,new_distance_km,old_duration,new_duration,old_ratio_to_air,new_ratio_to_air,distance_diff_km,distance_abs_diff_km,distance_change_pct,compare_status,recrawl_priority,recrawl_group,pair_key,recrawl_batch
22551,22553,90137000,PGD Long Bình,106.8237366,10.8413876,90233000,PGD Sala,106.7243851,10.769637,13.46881348530898,TP. Hồ Chí Minh,226,51,"1 hr 34 min
44.6 km",44.6,1 hr 34 min,part/output_part_226/ket_qua_tu_0_den_99.xlsx,original_output,ok,90137000__90233000,90137000__90233000,"10.84139,106.82374__10.76964,106.72439","10.76964,106.72439__10.84139,106.82374",directed_pair_key_by_code,18.9,44.6,,1 hr 34 min,,3.3114,25.7,25.7,1.3598,SUSPECT_CHANGED,HIGH,HIGH,90137000__90233000,batch_02
16961,16963,32200000,CN Đô Thành,105.7755539,20.9755068,32430000,PGD An Khánh,105.7320396,21.0043752,5.541849740983364,TP. Hà Nội,170,61,"8 min
1.6 km",1.6,8 min,part/output_part_170/ket_qua_tu_0_den_99.xlsx,original_output,ok,32200000__32430000,32200000__32430000,"20.97551,105.77555__21.00438,105.73204","20.97551,105.77555__21.00438,105.73204",directed_pair_key_by_code,7.6,1.6,,8 min,,0.2887,-6.0,6.0,0.7895,SUSPECT_CHANGED,HIGH,HIGH,32200000__32430000,batch_02
17795,17797,16434000,PGD Hoa Phượng,106.6919632,20.8290041,16800000,CN Ngô Quyền,106.6925006,20.8607247,3.527616725781082,TP. Hải Phòng,178,95,"4 min
1.7 km",1.7,4 min,part/output_part_178/ket_qua_tu_0_den_99.xlsx,original_output,ok,16434000__16800000,16434000__16800000,"20.82900,106.69196__20.86072,106.69250","20.82900,106.69196__20.86072,106.69250",directed_pair_key_by_code,5.4,1.7,,4 min,,0.4819,-3.7,3.7,0.6852,SUSPECT_CHANGED,HIGH,HIGH,16434000__16800000,batch_02
23897,23899,90431000,PGD Phú Nhuận,106.680485,10.799081,92800000,CN 9 Thành phố Hồ Chí Minh,106.6788024,10.82797,3.21756719372388,TP. Hồ Chí Minh,239,97,"30 min
10.1 km",10.1,30 min,part/output_part_239/ket_qua_tu_0_den_99.xlsx,original_output,ok,90431000__92800000,90431000__92800000,"10.79908,106.68049__10.82797,106.67880","10.79908,106.68049__10.82797,106.67880",directed_pair_key_by_code,4.3,10.1,,30 min,,3.139,5.8,5.8,1.3488,SUSPECT_CHANGED,HIGH,HIGH,90431000__92800000,batch_02
16479,16481,18930000,PGD Yên Thái,105.8144307,21.0446044,32230000,PGD số 01,105.6770079,21.0815254,14.83898246744271,TP. Hà Nội,165,79,"12 min
3.8 km",3.8,12 min,part/output_part_165/ket_qua_tu_0_den_99.xlsx,original_output,ok,18930000__32230000,18930000__32230000,"21.04460,105.81443__21.08153,105.67701","21.04460,105.81443__21.08153,105.67701",directed_pair_key_by_code,17.9,3.8,,12 min,,0.2561,-14.1,14.1,0.7877,SUSPECT_CHANGED,HIGH,HIGH,18930000__32230000,batch_02
17690,17692,16431000,PGD Hai Bà Trưng,106.6769427,20.8523679,34000000,CN Hải Dương,106.3304357,20.9404918,37.30555324821019,TP. Hải Phòng,177,90,"27 min
14.4 km",14.4,27 min,part/output_part_177/ket_qua_tu_0_den_99.xlsx,original_output,ok,16431000__34000000,16431000__34000000,"20.85237,106.67694__20.94049,106.33044","20.85237,106.67694__20.94049,106.33044",directed_pair_key_by_code,45.3,14.4,,27 min,,0.386,-30.9,30.9,0.6821,SUSPECT_CHANGED,HIGH,HIGH,16431000__34000000,batch_02
21253,21255,90037000,PGD Thành Thái,106.664006,10.7750228,92200000,CN 6 Thành phố Hồ Chí Minh,106.6648231,10.7532743,2.419972883045039,TP. Hồ Chí Minh,213,53,"24 min
7.0 km",7.0,24 min,part/output_part_213/ket_qua_tu_0_den_99.xlsx,original_output,ok,90037000__92200000,90037000__92200000,"10.77502,106.66401__10.75327,106.66482","10.75327,106.66482__10.77502,106.66401",directed_pair_key_by_code,3.0,7.0,,24 min,,2.8926,4.0,4.0,1.3333,SUSPECT_CHANGED,HIGH,HIGH,90037000__92200000,batch_02
16765,16767,32000000,CN Thành An,105.7625489,20.9756127,32038000,PGD Xuân Thủy,105.7916411,21.0160609,5.41756148942804,TP. Hà Nội,168,65,"45 min
13.0 km",13.0,45 min,part/output_part_168/ket_qua_tu_0_den_99.xlsx,original_output,ok,32000000__32038000,32000000__32038000,"20.97561,105.76255__21.01606,105.79164","20.97561,105.76255__21.01606,105.79164",directed_pair_key_by_code,7.3,13.0,,45 min,,2.3996,5.7,5.7,0.7808,SUSPECT_CHANGED,HIGH,HIGH,32000000__32038000,batch_02
18411,18413,34037000,PGD Bình Giang,106.1505193,20.9069647,34633000,PGD Nam Sách,106.331765,20.995948,21.26350555948163,TP. Hải Phòng,185,11,"13 min
8.3 km",8.3,13 min,part/output_part_185/ket_qua_tu_0_den_99.xlsx,original_output,ok,34037000__34633000,34037000__34633000,"20.90696,106.15052__20.99595,106.33177","20.90696,106.15052__20.99595,106.33177",directed_pair_key_by_code,26.0,8.3,,13 min,,0.3903,-17.7,17.7,0.6808,SUSPECT_CHANGED,HIGH,HIGH,34037000__34633000,batch_02
19407,19409,64035000,PGD Tân Đông Hiệp,106.7422824,10.9280524,93200000,CN Chợ Lớn,106.6318675,10.769204,21.38659682704172,TP. Hồ Chí Minh,195,7,"1 hr 28 min
62.3 km",62.3,1 hr 28 min,part/output_part_195/ket_qua_tu_0_den_99.xlsx,original_output,ok,64035000__93200000,64035000__93200000,"10.92805,106.74228__10.76920,106.63187","10.76920,106.63187__10.92805,106.74228",directed_pair_key_by_code,26.8,62.3,,1 hr 28 min,,2.913,35.5,35.5,1.3246,SUSPECT_CHANGED,HIGH,HIGH,64035000__93200000,batch_02
