global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord,matched_by,old_distance_km,new_distance_km,old_duration,new_duration,old_ratio_to_air,new_ratio_to_air,distance_diff_km,distance_abs_diff_km,distance_change_pct,compare_status,recrawl_priority,recrawl_group,pair_key,recrawl_batch
12728,12730,12934000,PGD Nguyễn Gia Thiều,105.874576,21.0480521,14234000,PGD Lò Đúc,105.856626,21.01559,4.062032414981715,TP. Hà Nội,128,28,"17 min
5.4 km",5.4,17 min,part/output_part_128/ket_qua_tu_0_den_99.xlsx,original_output,ok,12934000__14234000,12934000__14234000,"21.04805,105.87458__21.01559,105.85663","21.01559,105.85663__21.04805,105.87458",directed_pair_key_by_code,10.3,5.4,,17 min,,1.3294,-4.9,4.9,0.4757,SUSPECT_CHANGED,HIGH,HIGH,12934000__14234000,batch_03
23570,23572,90333000,PGD Vạn Phúc,106.7136198,10.8438678,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,8.937564598913328,TP. Hồ Chí Minh,236,70,"39 min
18.8 km",18.8,39 min,part/output_part_236/ket_qua_tu_0_den_99.xlsx,original_output,ok,90333000__90600000,90333000__90600000,"10.84387,106.71362__10.76976,106.68195","10.76976,106.68195__10.84387,106.71362",directed_pair_key_by_code,10.6,18.8,,39 min,,2.1035,8.2,8.2,0.7736,SUSPECT_CHANGED,HIGH,HIGH,90333000__90600000,batch_01
14836,14838,14230000,PGD Chợ Hôm,105.8515865,21.0174588,14600000,CN Tây Hà Nội,105.7733339,21.0376276,8.425811559651743,TP. Hà Nội,149,36,"32 min
15.2 km",15.2,32 min,part/output_part_149/ket_qua_tu_0_den_99.xlsx,original_output,ok,14230000__14600000,14230000__14600000,"21.01746,105.85159__21.03763,105.77333","21.01746,105.85159__21.03763,105.77333",directed_pair_key_by_code,10.3,15.2,,32 min,,1.804,4.9,4.9,0.4757,SUSPECT_CHANGED,HIGH,HIGH,14230000__14600000,batch_01
23686,23688,90334000,PGD Vinhomes Tân Cảng,106.7210417,10.7941608,92030000,PGD Hòa Bình,106.6749817,10.7525802,6.833154299943192,TP. Hồ Chí Minh,237,86,"54 min
17.2 km",17.2,54 min,part/output_part_237/ket_qua_tu_0_den_99.xlsx,original_output,ok,90334000__92030000,90334000__92030000,"10.79416,106.72104__10.75258,106.67498","10.75258,106.67498__10.79416,106.72104",directed_pair_key_by_code,9.7,17.2,,54 min,,2.5171,7.5,7.5,0.7732,SUSPECT_CHANGED,HIGH,HIGH,90334000__92030000,batch_02
14041,14043,13633000,PGD Hào Nam,105.827322,21.0246356,18831000,PGD Vinhomes Mỹ Đình,105.7616254,21.0355837,6.926379383577912,TP. Hà Nội,141,41,"33 min
12.1 km",12.1,33 min,part/output_part_141/ket_qua_tu_0_den_99.xlsx,original_output,ok,13633000__18831000,13633000__18831000,"21.02464,105.82732__21.03558,105.76163","21.02464,105.82732__21.03558,105.76163",directed_pair_key_by_code,8.2,12.1,,33 min,,1.7469,3.9,3.9,0.4756,SUSPECT_CHANGED,HIGH,HIGH,13633000__18831000,batch_02
19331,19333,64035000,PGD Tân Đông Hiệp,106.7422824,10.9280524,90132000,PGD Thủ Dầu Một,106.6717412,10.9751902,9.315489969640971,TP. Hồ Chí Minh,194,31,"33 min
19.5 km",19.5,33 min,part/output_part_194/ket_qua_tu_0_den_99.xlsx,original_output,ok,64035000__90132000,64035000__90132000,"10.92805,106.74228__10.97519,106.67174","10.92805,106.74228__10.97519,106.67174",directed_pair_key_by_code,11.0,19.5,,33 min,,2.0933,8.5,8.5,0.7727,SUSPECT_CHANGED,HIGH,HIGH,64035000__90132000,batch_03
7566,7568,12230000,PGD Đồng Xuân,105.8501004,21.0378505,32631000,PGD Thành Tây,105.8011343,20.9799725,8.20086434940011,TP. Hà Nội,76,66,"35 min
14.9 km",14.9,35 min,part/output_part_76/ket_qua_tu_0_den_99.xlsx,original_output,ok,12230000__32631000,12230000__32631000,"21.03785,105.85010__20.97997,105.80113","20.97997,105.80113__21.03785,105.85010",directed_pair_key_by_code,10.1,14.9,,35 min,,1.8169,4.8,4.8,0.4752,SUSPECT_CHANGED,HIGH,HIGH,12230000__32631000,batch_03
22989,22991,90236000,PGD Đakao,106.6972065,10.7927265,90836000,PGD Nguyễn Lương Bằng,106.7284493,10.7174433,9.040153665778142,TP. Hồ Chí Minh,230,89,"59 min
19.5 km",19.5,59 min,part/output_part_230/ket_qua_tu_0_den_99.xlsx,original_output,ok,90236000__90836000,90236000__90836000,"10.79273,106.69721__10.71744,106.72845","10.71744,106.72845__10.79273,106.69721",directed_pair_key_by_code,11.0,19.5,,59 min,,2.157,8.5,8.5,0.7727,SUSPECT_CHANGED,HIGH,HIGH,90236000__90836000,batch_01
9793,9795,12633000,PGD Thái Hà,105.818148,21.0141822,12738000,PGD Nguyễn Tuân,105.8084244,21.0076964,1.240507058403095,TP. Hà Nội,98,93,"4 min
2.1 km",2.1,4 min,part/output_part_98/ket_qua_tu_0_den_99.xlsx,original_output,ok,12633000__12738000,12633000__12738000,"21.01418,105.81815__21.00770,105.80842","21.00770,105.80842__21.01418,105.81815",directed_pair_key_by_code,4.0,2.1,,4 min,,1.6929,-1.9,1.9,0.475,SUSPECT_CHANGED,HIGH,HIGH,12633000__12738000,batch_01
23742,23744,90334000,PGD Vinhomes Tân Cảng,106.7210417,10.7941608,94534000,PGD Lê Văn Sỹ,106.664652,10.796715,6.165831946382474,TP. Hồ Chí Minh,238,42,"40 min
15.6 km",15.6,40 min,part/output_part_238/ket_qua_tu_0_den_99.xlsx,original_output,ok,90334000__94534000,90334000__94534000,"10.79416,106.72104__10.79672,106.66465","10.79416,106.72104__10.79672,106.66465",directed_pair_key_by_code,8.8,15.6,,40 min,,2.5301,6.8,6.8,0.7727,SUSPECT_CHANGED,HIGH,HIGH,90334000__94534000,batch_02
