global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,old_kinh_do_1,old_vi_do_1,old_kinh_do_2,old_vi_do_2,coord_update_note
4329,4331,24830000,PGD Vân Cơ,105.3650722,21.3400682,24832000,PGD Phong Châu,105.292801,21.339281,8.311160684808927,Phú Thọ,44,29,"21 min
12.1 km",12.1,21 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.3650722,21.3400682,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
4351,4353,24831000,PGD Bãi Bằng,105.3131523,21.4074136,24832000,PGD Phong Châu,105.292801,21.339281,7.449575534451199,Phú Thọ,44,51,"16 min
9.0 km",9.0,16 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.3131523,21.4074136,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
4373,4375,24832000,PGD Phong Châu,105.292801,21.339281,24833000,PGD Văn Lang,105.3796015,21.327654,9.996746915965772,Phú Thọ,44,73,"22 min
12.8 km",12.8,22 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.3796015,21.327654,updated point 1 PGD Phong Chau 24832000
4374,4376,24832000,PGD Phong Châu,105.292801,21.339281,24834000,PGD Thanh Sơn,105.180244,21.213661,18.26544838472402,Phú Thọ,44,74,24.9 km,24.9,36 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,recrawled_ok,105.285056,21.345738,105.180244,21.213661,updated point 1 PGD Phong Chau 24832000
4375,4377,24832000,PGD Phong Châu,105.292801,21.339281,24836000,PGD Tam Nông,105.2550266,21.2821678,7.722894342329363,Phú Thọ,44,75,8.9 km,8.9,13 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,recrawled_ok,105.285056,21.345738,105.2550266,21.2821678,updated point 1 PGD Phong Chau 24832000
4376,4378,24832000,PGD Phong Châu,105.292801,21.339281,25000000,CN Hòa Bình,105.3400263,20.8193776,58.80590329198984,Phú Thọ,44,76,"1 hr 35 min
71.1 km",71.1,1 hr 35 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.3400263,20.8193776,updated point 1 PGD Phong Chau 24832000
4377,4379,24832000,PGD Phong Châu,105.292801,21.339281,25030000,PGD Sông Đà,105.3393964,20.8303057,57.5901464748674,Phú Thọ,44,77,"1 hr 32 min
69.7 km",69.7,1 hr 32 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.3393964,20.8303057,updated point 1 PGD Phong Chau 24832000
4378,4380,24832000,PGD Phong Châu,105.292801,21.339281,25032000,PGD Hữu Nghị,105.3349786,20.8366286,56.84688936894521,Phú Thọ,44,78,"1 hr 30 min
68.8 km",68.8,1 hr 30 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.3349786,20.8366286,updated point 1 PGD Phong Chau 24832000
4379,4381,24832000,PGD Phong Châu,105.292801,21.339281,25033000,PGD Kỳ Sơn,105.3513052,20.8868222,51.48980632824614,Phú Thọ,44,79,"1 hr 36 min
73.6 km",73.6,1 hr 36 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.3513052,20.8868222,updated point 1 PGD Phong Chau 24832000
4380,4382,24832000,PGD Phong Châu,105.292801,21.339281,25034000,PGD Lương Sơn,105.5333993,20.8722399,58.61521136467398,Phú Thọ,44,80,"2 hr
75.0 km",75.0,2 hr,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.5333993,20.8722399,updated point 1 PGD Phong Chau 24832000
4381,4383,24832000,PGD Phong Châu,105.292801,21.339281,26000000,CN Phúc Yên,105.7056066,21.2356891,45.25728593795193,Phú Thọ,44,81,"1 hr 4 min
57.1 km",57.1,1 hr 4 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.7056066,21.2356891,updated point 1 PGD Phong Chau 24832000
4382,4384,24832000,PGD Phong Châu,105.292801,21.339281,26030000,PGD Xuân Hoà,105.7260304,21.2747263,46.35892910722867,Phú Thọ,44,82,"1 hr 3 min
59.4 km",59.4,1 hr 3 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.7260304,21.2747263,updated point 1 PGD Phong Chau 24832000
4383,4385,24832000,PGD Phong Châu,105.292801,21.339281,26031000,PGD Honda VN,105.72113,21.2360304,46.7977581252069,Phú Thọ,44,83,"1 hr 9 min
62.9 km",62.9,1 hr 9 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.72113,21.2360304,updated point 1 PGD Phong Chau 24832000
